venta_id,categoria,monto_total
968,INST,1985
968,OPTI,1494
969,CAMP,1336
969,OPTI,1608
970,PESC,9940
970,PESR,1244
971,INST,2604
972,OPTI,16499
973,OPTI,2001
974,CAMP,1208
974,INDU,8540
974,OPTI,1024
975,CAMP,5160
975,PESP,6300
975,TIRO,2664
976,PESC,17528
977,CAMP,568
978,PESC,4848
978,PESP,1946
978,PESR,9903
979,CAMP,4454
979,INDU,9988
979,OPTI,4216
980,CAMP,105700
981,PESR,6705
982,PESP,49372
983,PESP,9500
984,OPTI,5149
990,OPTI,6741
991,OPTI,32796
992,OPTI,6994
993,INDU,864
994,OPTI,2817
995,PESC,19660
995,PESP,1800
995,PESR,15900
996,OPTI,603
997,INST,112
997,OPTI,10676
997,TIRO,1332
998,OPTI,5892
1000,PESC,8022
1000,PESR,3184
1002,INDP,1406
1002,INDU,12104
1002,PESP,11868
1003,CAMP,1433
1003,PESP,11936
1004,INDP,4542
1005,PESC,1592
1005,PESP,230
1005,TIRO,519
1006,CAMP,7310
1007,CAMP,2082
1007,TIRO,1740
1008,INDP,988
